Items,Key Length,Stage 1 KBytes Read,Total KBytes Read,Stage 1 CPU Time,Stage 2 CPU Time,Total CPU Time
10,1024,19,21,249,31,811
10,1024,19,21,202,15,405
10,1024,19,21,218,15,452
10,1024,19,21,202,0,390
10,1024,20,21,202,31,436
25,1024,43,46,514,15,733
25,1024,46,46,530,31,795
25,1024,43,46,530,31,748
25,1024,43,46,592,31,842
25,1024,44,46,514,31,780
50,1024,84,86,982,0,1201
50,1024,84,86,936,31,1170
50,1024,84,86,1014,15,1248
50,1024,85,86,982,15,1185
50,1024,85,86,967,31,1279
75,1024,125,127,1357,15,1622
75,1024,124,127,1435,15,1684
75,1024,125,127,1404,15,1622
75,1024,125,127,1388,15,1591
75,1024,125,127,1341,15,1575
100,1024,165,167,1872,15,2137
100,1024,165,167,1809,15,2059
100,1024,165,167,1794,0,2028
100,1024,166,167,1872,0,2074
100,1024,165,167,1825,15,2090
200,1024,327,332,3510,62,3822
200,1024,327,332,3681,62,4009
200,1024,327,332,3712,46,4040
200,1024,329,332,3556,46,3931
200,1024,327,332,3993,46,4274
400,1024,652,653,6598,15,6926
400,1024,651,653,7815,15,8112
400,1024,652,653,6739,15,7035
400,1024,653,653,7519,31,7846
400,1024,652,653,7846,15,8143
500,1024,814,816,9781,46,10124
500,1024,813,816,9172,15,9500
500,1024,813,816,9188,31,9516
500,1024,814,816,8985,31,9375
500,1024,814,816,9578,31,9921
600,1024,976,978,11575,15,11887
600,1024,975,978,12199,31,12558
600,1024,975,978,11887,15,12214
600,1024,975,978,12168,15,12480
600,1024,975,978,11013,31,11356
800,1024,1299,1301,16130,15,16458
800,1024,1301,1301,15631,15,15927
800,1024,1299,1301,15194,15,15537
800,1024,1300,1301,15210,15,15553
800,1024,1300,1301,14648,46,15054
1000,1024,1625,1626,18782,31,19141
1000,1024,1623,1626,19219,46,19640
1000,1024,1624,1626,18064,62,18454
1000,1024,1624,1626,20560,31,20935
1000,1024,1623,1626,19406,46,19796
1500,1024,2434,2435,28236,78,28657
1500,1024,2434,2435,28392,78,28938
1500,1024,2434,2435,29562,15,29952
1500,1024,2434,2435,28953,31,29343
1500,1024,2434,2435,28017,31,28454
2000,1024,3243,3245,40872,62,41387
2000,1024,3243,3245,40950,62,41418
2000,1024,3243,3245,39218,62,39686
2000,1024,3244,3245,40700,62,41199
2000,1024,3244,3245,39795,78,40295
10,768,17,18,156,0,390
10,768,16,18,93,15,296
10,768,17,18,124,0,312
10,768,16,18,109,15,327
10,768,16,18,124,15,296
25,768,37,39,249,15,468
25,768,37,39,234,15,452
25,768,37,39,234,15,436
25,768,37,39,265,15,514
25,768,36,39,249,31,499
50,768,70,72,421,0,608
50,768,71,72,452,15,670
50,768,71,72,452,15,686
50,768,71,72,421,31,670
50,768,71,72,468,15,702
75,768,104,105,624,0,826
75,768,103,105,702,15,982
75,768,104,105,670,15,873
75,768,104,105,670,0,873
75,768,103,105,670,0,858
100,768,137,139,826,15,1076
100,768,137,139,826,15,1014
100,768,137,139,858,0,1060
100,768,137,139,795,0,1029
100,768,137,139,780,15,982
200,768,272,275,1482,31,1794
200,768,270,275,1497,31,1825
200,768,270,275,1513,31,1825
200,768,272,275,1482,31,1794
200,768,270,275,1544,31,1762
400,768,539,541,2932,15,3182
400,768,538,541,2745,15,3010
400,768,538,541,3182,15,3432
400,768,538,541,3135,15,3447
400,768,538,541,2995,15,3338
500,768,672,675,3837,31,4134
500,768,674,675,3931,0,4227
500,768,672,675,3650,15,4009
500,768,672,675,4180,31,4477
500,768,673,675,3744,31,4056
600,768,807,809,4680,31,4992
600,768,807,809,4992,31,5272
600,768,806,809,4867,15,5179
600,768,807,809,4570,46,4882
600,768,807,809,5038,31,5382
800,768,1075,1076,6193,15,6520
800,768,1076,1076,6318,15,6692
800,768,1075,1076,6068,46,6427
800,768,1075,1076,6146,0,6427
800,768,1074,1076,6427,15,6692
1000,768,1344,1345,7737,46,8096
1000,768,1342,1345,7768,31,8065
1000,768,1343,1345,8049,31,8424
1000,768,1342,1345,7831,31,8221
1000,768,1343,1345,7472,31,7800
1500,768,2012,2013,11388,46,11731
1500,768,2011,2013,11715,31,12058
1500,768,2011,2013,12526,31,12901
1500,768,2011,2013,11949,31,12355
1500,768,2012,2013,12183,46,12589
2000,768,2680,2683,15631,62,16068
2000,768,2680,2683,15849,78,16317
2000,768,2681,2683,15225,78,15740
2000,768,2680,2683,15724,62,16161
2000,768,2680,2683,16005,62,16442
200,1024,329,332,3385,62,3728
200,1024,329,331,3416,0,3728
200,1024,327,331,3432,0,3759
200,1024,327,331,3478,15,3712
200,1024,327,331,3650,15,3993
