Items,Key Length,Stage 1 KBytes Read,Total KBytes Read,Stage 1 CPU Time,Stage 2 CPU Time,Total CPU Time
10,1024,19,21,234,31,748
10,1024,19,21,218,15,452
10,1024,20,21,202,15,374
10,1024,20,21,234,0,390
10,1024,21,21,234,15,452
25,1024,43,46,530,15,780
25,1024,43,46,452,15,717
25,1024,44,46,561,31,780
25,1024,43,46,483,31,733
25,1024,46,46,530,15,780
50,1024,84,86,951,15,1154
50,1024,86,86,889,31,1170
50,1024,84,86,920,15,1154
50,1024,84,86,904,15,1170
50,1024,84,86,982,15,1248
75,1024,124,127,1326,15,1575
75,1024,125,127,1341,31,1638
75,1024,126,127,1435,15,1700
75,1024,125,127,1513,31,1872
75,1024,126,127,1357,15,1591
100,1024,166,167,1856,15,2106
100,1024,165,167,1716,31,1934
100,1024,166,167,1825,0,2090
100,1024,165,167,1747,0,1965
100,1024,165,167,1747,15,2043
200,1024,327,332,3432,31,3712
200,1024,327,332,3588,46,3962
200,1024,329,332,3432,78,3790
200,1024,327,332,3666,62,4009
200,1024,329,332,3385,78,3728
400,1024,652,653,6708,15,6988
400,1024,652,653,7597,46,7909
400,1024,652,653,7176,15,7472
400,1024,651,653,7956,15,8314
400,1024,651,653,8080,15,8330
500,1024,814,816,9687,46,9984
500,1024,814,816,9718,46,10093
500,1024,813,816,9297,31,9562
500,1024,814,816,9110,62,9438
500,1024,813,816,10015,31,10389
600,1024,975,978,11403,15,11746
600,1024,977,978,11232,46,11606
600,1024,976,978,12027,15,12433
600,1024,976,978,11637,15,12027
600,1024,975,978,11731,31,12058
800,1024,1300,1301,15943,46,16317
800,1024,1299,1301,14913,15,15210
800,1024,1299,1301,15912,15,16255
800,1024,1301,1301,14944,15,15334
800,1024,1300,1301,14554,15,14944
1000,1024,1623,1626,20670,46,21028
1000,1024,1623,1626,20607,46,20997
1000,1024,1623,1626,19624,31,20030
1000,1024,1624,1626,18891,46,19297
1000,1024,1624,1626,19453,62,19843
1500,1024,2433,2435,27986,62,28407
1500,1024,2435,2435,28423,46,28984
1500,1024,2433,2435,30295,46,30716
1500,1024,2433,2435,30092,46,30529
1500,1024,2434,2435,28579,31,28953
2000,1024,3244,3245,40154,78,40638
2000,1024,3244,3245,37611,78,38064
2000,1024,3244,3245,39437,93,39936
2000,1024,3244,3245,37128,62,37596
2000,1024,3244,3245,37627,46,38142
10,768,18,18,124,15,405
10,768,16,18,124,15,343
10,768,16,18,93,15,280
10,768,16,18,124,0,343
10,768,17,18,109,15,312
25,768,36,39,265,0,499
25,768,37,39,280,15,514
25,768,36,39,312,15,561
25,768,37,39,249,15,499
25,768,38,39,234,31,499
50,768,70,72,452,0,702
50,768,70,72,514,15,733
50,768,70,72,436,15,655
50,768,71,72,514,0,748
50,768,70,72,468,15,702
75,768,103,105,686,15,920
75,768,104,105,686,15,904
75,768,103,105,655,0,904
75,768,105,105,608,0,811
75,768,103,105,608,15,873
100,768,137,139,826,0,1060
100,768,137,139,842,0,1060
100,768,137,139,826,15,1060
100,768,137,139,780,15,1029
100,768,137,139,795,15,1029
200,768,274,275,1544,46,1872
200,768,270,275,1528,31,1825
200,768,270,275,1544,15,1794
200,768,270,275,1544,31,1840
200,768,270,275,1669,15,1934
400,768,539,541,2964,15,3244
400,768,540,541,2901,15,3135
400,768,539,541,3322,15,3650
400,768,539,541,2917,0,3182
400,768,539,541,2854,15,3135
500,768,673,675,3931,31,4258
500,768,672,675,3822,0,4102
500,768,673,675,3666,15,3993
500,768,672,675,3915,15,4212
500,768,673,675,3775,15,4149
600,768,807,809,4914,15,5194
600,768,807,809,4836,15,5148
600,768,807,809,4992,15,5366
600,768,808,809,4633,15,5023
600,768,807,809,4976,15,5288
800,768,1074,1076,6177,31,6505
800,768,1074,1076,6474,15,6864
800,768,1075,1076,6208,15,6474
800,768,1075,1076,6318,15,6661
800,768,1075,1076,6396,31,6692
1000,768,1342,1345,8190,15,8502
1000,768,1343,1345,8205,31,8564
1000,768,1342,1345,8330,31,8736
1000,768,1343,1345,7706,15,8018
1000,768,1344,1345,8034,31,8408
1500,768,2012,2013,11434,31,11824
1500,768,2012,2013,11715,46,12105
1500,768,2012,2013,12058,46,12480
1500,768,2012,2013,12308,15,12729
1500,768,2013,2013,11762,46,12105
2000,768,2680,2683,15756,62,16161
2000,768,2682,2683,15600,62,16036
2000,768,2681,2683,15490,46,15912
2000,768,2680,2683,15787,62,16239
2000,768,2680,2683,15553,62,15990
